电台名称,状态,HTTP状态码,原因,内容类型,URL
云南国际广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxynsegb/playlist.m3u8
云南教育广播·知道分子频道,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxynjygb/playlist.m3u8
宁夏经济广播,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxnxjjgb/playlist.m3u8
宁夏旅游广播,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxnxdsgb/playlist.m3u8
青海新闻综合广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32qhwxzhgb/playlist.m3u8
青海经济广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32qhjjgb/playlist.m3u8
益阳之声,unreachable,,连接失败: timed out,,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/fm997.m3u8
益阳交通频道·汽车881,unreachable,,连接失败: timed out,,http://fms.yyrtv.com:82/hls-live/livepkgr/_definst_/liveevent/fm881.m3u8
开州之声,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://183.64.174.171:10124/tlgb.m3u8
欢乐调频,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://starfish.bj.aliyun.007.qingting.fm:8000/huanletiaopin
房山电台,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://live.funhillrm.com/3/sd/live.m3u8
CNR音乐之声,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://liveop.cctv.cn/hls/yyzs192/playlist.m3u8
CNR经典音乐广播,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://liveop.cctv.cn/hls/jdyygb192/playlist.m3u8
安徽音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxahyygb/playlist.m3u8
陕西音乐广播·快乐988,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxsxxyygb/playlist.m3u8
陕西青少广播·好听1055,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxsxxqcgb/playlist.m3u8
北京经典969,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://live.funhillrm.com/4/sd/live.m3u8
旅游之声,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://starfish.bj.aliyun.007.qingting.fm:8000/fm98.7lvyouzhisheng
山东音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxsdyygb/playlist.m3u8
山东经典音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxsdshxxgb/playlist.m3u8
湖南文艺广播·摩登音乐台,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wx32hunwygb/playlist.m3u8
湖南音乐之声·芒果音乐台,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://a.live.hnradio.com/yypd/radio120k_yypd.m3u8?auth_key=1588751172-0-0-d97b858279c1c86650172b9913ea4af2
CRI HIT FM (北京),timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxgjlxyy/playlist.m3u8
CRI HIT FM (广州),reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxhitfm/playlist.m3u8
新疆音乐广播MixFM1039,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://livehywaudio2.chinamcache.com/xjtvs/gb06.m3u8?auth_key=1701481179-0-0-f5b0844d2432e7a4c6458ae7152483ba
江西音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32jiangxyygb/playlist.m3u8
宁波音乐广播,unreachable,530,HTTP 530,,http://ihzlh.linker.cc/ihzlh/zjnb_ts02_986.m3u8
PlayFM甬江之声,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,http://netlive.zhxwzx.com/live/1001.m3u8
内蒙古音乐之声,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
湖北经典音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32hubyygb/playlist.m3u8
广西音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32gxwygb/playlist.m3u8
广西经济广播·女主播电台,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32gxjjgb/playlist.m3u8
云南音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxynyygb/playlist.m3u8
四川城市之音,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxsccszs/playlist.m3u8
四川岷江音乐,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
厦门音乐广播,not_found,404,HTTP 404,,http://live2.kxm.xmtv.cn/aac_xmyy/playlist.m3u8
楚天音乐广播,timeout,,连接超时,,http://satellitepull.cnr.cn/live/wx32hubctyygb/playlist.m3u8
江苏音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32jsyygb/playlist.m3u8
江苏经典流行音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32jsjdlxyy/playlist.m3u8
浙江音乐调频·动听968,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxzj968/playlist.m3u8
河北音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxhebyygb/playlist.m3u8
深圳飞扬971,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxszfy971/playlist.m3u8
深圳生活942,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxszsjcgb/playlist.m3u8
海南音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wxhainyygb/playlist.m3u8
贵州音乐广播,reachable,200,m3u8 列表,application/x-mpegurl,http://satellitepull.cnr.cn/live/wx32gzyygb/playlist.m3u8
